id,file,status,error
1,kernelbench/level1/100_HingeLoss.py,PASS,
2,kernelbench/level1/10_3D_tensor_matrix_multiplication.py,PASS,
3,kernelbench/level1/11_4D_tensor_matrix_multiplication.py,PASS,
4,kernelbench/level1/12_Matmul_with_diagonal_matrices_.py,PASS,
5,kernelbench/level1/13_Matmul_for_symmetric_matrices.py,PASS,
6,kernelbench/level1/14_Matmul_for_upper_triangular_matrices.py,PASS,
7,kernelbench/level1/15_Matmul_for_lower_triangular_matrices.py,PASS,
8,kernelbench/level1/16_Matmul_with_transposed_A.py,PASS,
9,kernelbench/level1/17_Matmul_with_transposed_B.py,PASS,
10,kernelbench/level1/18_Matmul_with_transposed_both.py,PASS,
11,kernelbench/level1/19_ReLU.py,PASS,
12,kernelbench/level1/1_Square_matrix_multiplication_.py,PASS,
13,kernelbench/level1/20_LeakyReLU.py,PASS,
14,kernelbench/level1/21_Sigmoid.py,PASS,
15,kernelbench/level1/22_Tanh.py,PASS,
16,kernelbench/level1/23_Softmax.py,PASS,
17,kernelbench/level1/24_LogSoftmax.py,PASS,
18,kernelbench/level1/25_Swish.py,PASS,
19,kernelbench/level1/26_GELU_.py,PASS,
20,kernelbench/level1/27_SELU_.py,PASS,
21,kernelbench/level1/28_HardSigmoid.py,PASS,
22,kernelbench/level1/29_Softplus.py,PASS,
23,kernelbench/level1/2_Standard_matrix_multiplication_.py,PASS,
24,kernelbench/level1/30_Softsign.py,PASS,
25,kernelbench/level1/31_ELU.py,PASS,
26,kernelbench/level1/32_HardTanh.py,PASS,
27,kernelbench/level1/33_BatchNorm.py,PASS,
28,kernelbench/level1/34_InstanceNorm.py,PASS,
29,kernelbench/level1/35_GroupNorm_.py,PASS,
30,kernelbench/level1/36_RMSNorm_.py,PASS,
31,kernelbench/level1/37_FrobeniusNorm_.py,PASS,
32,kernelbench/level1/38_L1Norm_.py,PASS,
33,kernelbench/level1/39_L2Norm_.py,PASS,
34,kernelbench/level1/3_Batched_matrix_multiplication.py,PASS,
35,kernelbench/level1/40_LayerNorm.py,PASS,
36,kernelbench/level1/41_Max_Pooling_1D.py,PASS,
37,kernelbench/level1/42_Max_Pooling_2D.py,PASS,
38,kernelbench/level1/43_Max_Pooling_3D.py,PASS,
39,kernelbench/level1/44_Average_Pooling_1D.py,PASS,
40,kernelbench/level1/45_Average_Pooling_2D.py,PASS,
41,kernelbench/level1/46_Average_Pooling_3D.py,PASS,
42,kernelbench/level1/47_Sum_reduction_over_a_dimension.py,PASS,
43,kernelbench/level1/48_Mean_reduction_over_a_dimension.py,PASS,
44,kernelbench/level1/49_Max_reduction_over_a_dimension.py,PASS,
45,kernelbench/level1/4_Matrix_vector_multiplication_.py,PASS,
